"","model_label","Model_Code","refLabel","refPercent","BpS_Name","OID_","Value","Count","Feature_hoos2","bps_aoi","scls_aoi","MAP_UNIT_SYMBOL","BPS_NAME","total_count","currentPercent"
"125","13130_47_50_51_UE","13130_47_50_51","UE",0,"North-Central Interior Beech-Maple Forest",100,100,223,3,2071,7,"223Ba03","North-Central Interior Beech-Maple Forest",1268,17
"126","13130_47_50_51_UE","13130_47_50_51","UE",0,"North-Central Interior Beech-Maple Forest",195,195,1,4,2071,7,"223Ba04","North-Central Interior Beech-Maple Forest",17,5
"127","13130_47_50_51_UE","13130_47_50_51","UE",0,"North-Central Interior Beech-Maple Forest",198,198,119,2,2071,7,"223Ba02","North-Central Interior Beech-Maple Forest",1182,10
"128","13210_47_48_53_57_A","13210_47_48_53_57","A",2,"South-Central Interior Mesophytic Forest",40,40,20,1,2072,1,"223Ba01","South-Central Interior Mesophytic Forest",115422,0
"129","13210_47_48_53_57_A","13210_47_48_53_57","A",2,"South-Central Interior Mesophytic Forest",98,98,15,3,2072,1,"223Ba03","South-Central Interior Mesophytic Forest",33628,0
"130","13210_47_48_53_57_A","13210_47_48_53_57","A",2,"South-Central Interior Mesophytic Forest",187,187,18,4,2072,1,"223Ba04","South-Central Interior Mesophytic Forest",55008,0
"131","13210_47_48_53_57_A","13210_47_48_53_57","A",2,"South-Central Interior Mesophytic Forest",194,194,24,2,2072,1,"223Ba02","South-Central Interior Mesophytic Forest",71316,0
"132","13210_47_48_53_57_A","13210_47_48_53_57","A",2,"South-Central Interior Mesophytic Forest",243,243,1184,5,2072,1,"223De01","South-Central Interior Mesophytic Forest",386959,0
"133","13210_47_48_53_57_A","13210_47_48_53_57","A",2,"South-Central Interior Mesophytic Forest",289,289,18,7,2072,1,"223De03","South-Central Interior Mesophytic Forest",42969,0
"134","13210_47_48_53_57_A","13210_47_48_53_57","A",2,"South-Central Interior Mesophytic Forest",384,384,1,6,2072,1,"223De02","South-Central Interior Mesophytic Forest",27375,0
"135","13210_47_48_53_57_A","13210_47_48_53_57","A",2,"South-Central Interior Mesophytic Forest",426,426,78,8,2072,1,"223De04","South-Central Interior Mesophytic Forest",88127,0
"136","13210_47_48_53_57_A","13210_47_48_53_57","A",2,"South-Central Interior Mesophytic Forest",467,467,178,9,2072,1,"223De05","South-Central Interior Mesophytic Forest",117298,0
