OID_,Value,Count,Feature_hoos2,bps_aoi,evt_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
126,126,455,3,2085,7974,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Row Crop,Agricultural
127,127,374,3,2072,7905,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Urban Deciduous Forest,Developed
128,128,16,1,2070,7321,223Ba01,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,162,160,11,9,South-Central Interior Mesophytic Forest,Hardwood
129,129,3,1,2088,7298,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Developed-High Intensity,Developed-High Intensity
130,130,2202,3,2085,7305,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
131,131,1488,3,2072,7974,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Row Crop,Agricultural
132,132,1192,3,2084,7305,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
133,133,1117,3,2072,7299,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Developed-Roads,Developed-Roads
134,134,5,1,2079,7905,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,Eastern Cool Temperate Urban Deciduous Forest,Developed
135,135,740,3,2085,7321,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,South-Central Interior Mesophytic Forest,Hardwood
136,136,118,3,2085,7977,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Pasture and Hayland,Agricultural
137,137,90,3,2072,7976,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
138,138,13,3,2072,9224,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,South-Central Interior Small Stream and Riparian Forest,Riparian
139,139,3736,3,2072,9315,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Northern & Central Native Ruderal Forest,Conifer-Hardwood
140,140,7,3,2067,7457,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,South-Central Interior / Upper Coastal Plain Wet Flatwoods,Riparian
141,141,2,3,2084,7457,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,South-Central Interior / Upper Coastal Plain Wet Flatwoods,Riparian
