OID_,Value,Count,Feature_hoos2,bps_aoi,scls_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,LABEL
165,165,1015.000000000000000,2,2067,7,223Ba02,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,UE
166,166,548.000000000000000,2,2067,5,223Ba02,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,E
167,167,103.000000000000000,2,2091,2,223Ba02,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,B
168,168,1.000000000000000,3,2085,4,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,D
169,169,4129.000000000000000,2,2084,180,223Ba02,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Agriculture
170,170,29.000000000000000,2,2091,7,223Ba02,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,UE
171,171,78.000000000000000,2,2091,120,223Ba02,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Developed
172,172,298.000000000000000,2,2084,6,223Ba02,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,UN
173,173,2.000000000000000,2,2091,6,223Ba02,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,UN
174,174,2.000000000000000,3,2088,6,223Ba03,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,UN
175,175,156.000000000000000,4,2085,5,223Ba04,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,E
176,176,48.000000000000000,4,2084,5,223Ba04,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,E
177,177,2.000000000000000,2,2084,1,223Ba02,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,A
178,178,199.000000000000000,2,2088,120,223Ba02,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Developed
179,179,234.000000000000000,2,2088,7,223Ba02,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,UE
180,180,95.000000000000000,2,2085,5,223Ba02,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,E
181,181,7.000000000000000,3,2079,180,223Ba03,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Agriculture
182,182,26.000000000000000,2,2084,5,223Ba02,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,E
183,183,52.000000000000000,2,2084,4,223Ba02,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,D
184,184,474.000000000000000,4,2067,180,223Ba04,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Agriculture
185,185,6.000000000000000,2,2085,1,223Ba02,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,A
186,186,1.000000000000000,4,2067,2,223Ba04,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,B
187,187,18.000000000000000,4,2072,1,223Ba04,13210_47_48_53_57,South-Central Interior Mesophytic Forest,A
188,188,1.000000000000000,2,2070,120,223Ba02,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,Developed
189,189,135.000000000000000,2,2091,180,223Ba02,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Agriculture
190,190,1.000000000000000,3,2071,2,223Ba03,13130_47_50_51,North-Central Interior Beech-Maple Forest,B
191,191,2.000000000000000,4,2084,1,223Ba04,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,A
192,192,11.000000000000000,2,2072,6,223Ba02,13210_47_48_53_57,South-Central Interior Mesophytic Forest,UN
193,193,17.000000000000000,2,2070,5,223Ba02,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,E
194,194,24.000000000000000,2,2072,1,223Ba02,13210_47_48_53_57,South-Central Interior Mesophytic Forest,A
195,195,1.000000000000000,4,2071,7,223Ba04,13130_47_50_51,North-Central Interior Beech-Maple Forest,UE
196,196,497.000000000000000,2,2071,3,223Ba02,13130_47_50_51,North-Central Interior Beech-Maple Forest,C
197,197,3.000000000000000,2,2070,7,223Ba02,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,UE
198,198,119.000000000000000,2,2071,7,223Ba02,13130_47_50_51,North-Central Interior Beech-Maple Forest,UE
199,199,16.000000000000000,2,2079,120,223Ba02,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Developed
200,200,20.000000000000000,2,2070,4,223Ba02,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,D
201,201,8.000000000000000,4,2070,120,223Ba04,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,Developed
202,202,642.000000000000000,2,2088,180,223Ba02,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Agriculture
203,203,4.000000000000000,4,2091,120,223Ba04,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Developed
204,204,14.000000000000000,4,2071,3,223Ba04,13130_47_50_51,North-Central Interior Beech-Maple Forest,C
205,205,13.000000000000000,4,2091,2,223Ba04,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,B
206,206,2.000000000000000,2,2091,3,223Ba02,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,C
207,207,106.000000000000000,2,2071,120,223Ba02,13130_47_50_51,North-Central Interior Beech-Maple Forest,Developed
208,208,7.000000000000000,2,2071,4,223Ba02,13130_47_50_51,North-Central Interior Beech-Maple Forest,D
209,209,8.000000000000000,4,2070,5,223Ba04,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,E
210,210,2.000000000000000,4,2070,3,223Ba04,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,C
211,211,15.000000000000000,4,2070,4,223Ba04,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,D
212,212,3.000000000000000,4,2091,180,223Ba04,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Agriculture
213,213,1.000000000000000,4,2079,2,223Ba04,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,B
214,214,27.000000000000000,2,2079,6,223Ba02,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,UN
215,215,6.000000000000000,4,2070,7,223Ba04,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,UE
216,216,452.000000000000000,2,2071,180,223Ba02,13130_47_50_51,North-Central Interior Beech-Maple Forest,Agriculture
217,217,13.000000000000000,2,2079,7,223Ba02,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,UE
218,218,2.000000000000000,1,2091,6,223Ba01,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,UN
219,219,9.000000000000000,2,2079,180,223Ba02,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Agriculture
220,220,8.000000000000000,2,2067,1,223Ba02,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,A
